N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.9,82.0,6.5,202.9,rice
85,58,41,21.7,80.3,7.0,226.6,rice
60,55,44,23.0,82.3,7.8,263.9,rice
74,35,40,26.5,80.1,6.9,242.8,rice
78,42,42,20.1,81.6,7.6,262.7,rice
71,54,16,22.6,63.7,5.7,87.7,maize
77,46,19,23.0,62.9,6.0,86.4,maize
88,57,21,22.0,63.0,6.0,89.5,maize
65,40,20,23.4,64.5,5.5,82.0,maize
70,48,18,21.8,62.8,5.9,90.1,maize
40,67,77,17.1,16.9,7.4,88.5,chickpea
44,70,80,17.3,17.5,7.0,90.2,chickpea
30,65,75,18.0,17.0,7.5,87.0,chickpea
20,60,18,28.0,55.0,5.5,52.0,kidneybeans
24,67,20,29.0,52.0,5.9,55.0,kidneybeans
22,62,19,27.5,54.5,5.7,53.5,kidneybeans
20,60,200,29.0,80.0,6.5,110.0,banana
18,75,200,27.0,80.0,6.0,105.0,banana
22,80,205,28.0,82.0,6.2,115.0,banana
83,16,50,28.0,56.0,5.8,80.0,cotton
80,18,55,27.0,54.0,5.6,82.0,cotton
85,20,52,29.0,55.0,5.7,79.0,cotton
100,80,50,30.0,80.0,6.5,200.0,sugarcane
110,75,55,28.0,82.0,6.7,210.0,sugarcane
95,78,48,29.0,81.0,6.6,205.0,sugarcane
40,135,205,21.0,92.0,6.0,110.0,grapes
38,130,200,22.0,90.0,5.9,108.0,grapes
42,140,210,20.5,93.0,6.1,112.0,grapes
20,30,30,38.0,50.0,7.0,45.0,mango
22,28,32,37.0,52.0,6.9,48.0,mango
19,32,29,39.0,48.0,7.1,42.0,mango
30,140,200,24.0,92.0,6.5,115.0,apple
28,135,195,23.5,91.0,6.4,113.0,apple
32,142,205,24.5,93.0,6.6,118.0,apple
20,60,30,18.0,15.0,7.0,80.0,lentil
22,62,28,17.5,16.0,6.9,82.0,lentil
19,58,32,18.5,14.5,7.1,78.0,lentil
40,72,77,18.5,68.5,7.3,68.4,coffee
38,70,75,19.0,70.0,7.0,70.0,coffee
42,74,79,18.0,67.0,7.2,67.0,coffee
60,17,17,29.0,75.0,5.7,138.0,jute
58,18,16,28.5,76.0,5.6,140.0,jute
62,16,18,29.5,74.0,5.8,135.0,jute
80,40,40,25.0,80.0,6.0,150.0,rice
75,38,42,24.5,79.0,6.2,160.0,rice
36,68,79,18.2,16.5,7.2,89.0,chickpea
72,52,17,22.8,63.5,5.8,88.0,maize
21,61,19,28.5,53.5,5.6,54.0,kidneybeans
21,77,202,28.5,81.0,6.3,112.0,banana
82,17,53,28.5,55.5,5.7,81.0,cotton
105,77,52,29.5,81.5,6.6,208.0,sugarcane
39,138,207,21.5,91.5,6.0,111.0,grapes
21,30,31,38.5,49.0,7.0,44.0,mango
30,138,202,24.2,92.0,6.5,116.0,apple
21,61,29,18.2,15.5,7.0,81.0,lentil
40,72,77,18.7,68.0,7.1,69.0,coffee
59,17,17,29.2,75.5,5.7,139.0,jute
